               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034595,            0.017385,           0.0043593,             0.79932,             0.81963,             0.88521,             0.63318,            0.030078,           0.0075034,            0.002137,            0.004225,            0.004225,            0.004225
                  37,            0.034262,            0.017543,            0.004364,             0.79044,             0.90413,             0.90448,              0.6577,            0.026896,           0.0071932,           0.0022162,             0.00406,             0.00406,             0.00406
                  38,             0.03534,            0.016947,           0.0045946,             0.77824,             0.94813,             0.89458,             0.64574,             0.02779,           0.0070386,           0.0022358,            0.003895,            0.003895,            0.003895
                  39,            0.033753,            0.016656,           0.0042586,             0.84707,             0.94388,             0.92682,              0.6034,            0.027399,           0.0069902,           0.0020678,             0.00373,             0.00373,             0.00373
                  40,            0.032888,            0.017215,           0.0048254,             0.82833,             0.94003,             0.93685,               0.671,            0.026268,           0.0068591,           0.0019496,            0.003565,            0.003565,            0.003565
                  41,            0.033123,            0.018053,           0.0032546,             0.83792,             0.96537,              0.9425,             0.65379,            0.027249,           0.0068236,           0.0018556,              0.0034,              0.0034,              0.0034
                  42,            0.036392,            0.016268,           0.0037765,             0.88693,             0.95116,             0.95328,             0.70626,            0.025754,           0.0066261,           0.0016737,            0.003235,            0.003235,            0.003235
                  43,            0.033811,            0.016308,            0.003952,             0.88663,             0.98747,             0.95282,             0.72018,            0.025075,           0.0064203,           0.0016078,             0.00307,             0.00307,             0.00307
                  44,            0.033015,            0.017791,           0.0056265,             0.88567,             0.98747,             0.94905,             0.73075,            0.024402,           0.0063764,           0.0015263,            0.002905,            0.002905,            0.002905
                  45,            0.032528,            0.017986,           0.0038769,             0.90273,             0.98518,             0.94509,             0.70918,            0.024331,           0.0063799,           0.0014778,             0.00274,             0.00274,             0.00274
                  46,            0.033863,              0.0174,           0.0041356,             0.89236,             0.98518,             0.94517,             0.68186,            0.024466,           0.0063583,           0.0014431,            0.002575,            0.002575,            0.002575
                  47,            0.031478,            0.017506,           0.0042462,             0.89411,             0.99131,             0.94949,             0.73051,            0.022051,           0.0061829,           0.0014214,             0.00241,             0.00241,             0.00241
                  48,            0.029707,            0.016906,           0.0050689,             0.88314,             0.96708,             0.95153,             0.74344,            0.021484,           0.0062592,           0.0013925,            0.002245,            0.002245,            0.002245
                  49,            0.028378,            0.014643,             0.00441,             0.90666,             0.96654,             0.95072,              0.7194,            0.021082,           0.0060791,           0.0014274,             0.00208,             0.00208,             0.00208
                  50,            0.028412,            0.016712,           0.0047784,             0.89965,              0.9688,              0.9466,             0.72386,             0.02152,           0.0060168,           0.0014003,            0.001915,            0.001915,            0.001915
                  51,            0.030904,            0.015743,           0.0042639,             0.90148,              0.9631,             0.95061,             0.72572,            0.021301,           0.0059391,           0.0013311,             0.00175,             0.00175,             0.00175
                  52,            0.031138,             0.01753,           0.0040554,             0.91202,             0.97046,             0.95144,             0.72509,            0.020162,           0.0058777,           0.0012895,            0.001585,            0.001585,            0.001585
                  53,            0.027603,            0.016539,            0.002927,             0.91169,             0.99432,             0.94406,             0.73734,            0.020222,           0.0058413,           0.0012088,             0.00142,             0.00142,             0.00142
                  54,            0.027275,            0.016139,           0.0031369,             0.91678,             0.98812,             0.94887,             0.74617,            0.019502,           0.0058105,             0.00114,            0.001255,            0.001255,            0.001255
                  55,            0.027139,            0.015923,           0.0033157,             0.92015,             0.99535,             0.94892,             0.75812,             0.01943,             0.00581,           0.0010867,             0.00109,             0.00109,             0.00109
                  56,            0.026744,            0.015465,           0.0032503,             0.91461,             0.99398,             0.94502,             0.77646,            0.019022,           0.0057605,           0.0010589,            0.000925,            0.000925,            0.000925
                  57,            0.024164,            0.015479,           0.0024718,                0.92,             0.99603,             0.94566,             0.76202,            0.018901,            0.005736,            0.001022,             0.00076,             0.00076,             0.00076
                  58,             0.02798,             0.01604,           0.0031538,             0.92075,              0.9959,             0.94577,             0.77888,            0.018504,           0.0057048,          0.00099977,            0.000595,            0.000595,            0.000595
                  59,            0.024987,             0.01488,           0.0022053,               0.922,             0.99509,             0.94194,             0.76511,            0.018389,           0.0056724,          0.00098352,             0.00043,             0.00043,             0.00043
